,COUB,Country of birth,FBORN,Place of birth,EDU,Education level,DOS,Duration of stay,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
3623,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,CAN,Canada,19640,,
3624,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,45060,,
3625,NOAM,North America,0,Native-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,CAN,Canada,2913080,,
3626,NOAM,North America,0,Native-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,CAN,Canada,2951300,,
3627,NOAM,North America,0,Native-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,5864380,,
3631,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,CAN,Canada,71200,,
3632,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,CAN,Canada,52860,,
3633,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,124060,,
3634,NOAM,North America,0,Native-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,CAN,Canada,3277470,,
3635,NOAM,North America,0,Native-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,CAN,Canada,2556565,,
3636,NOAM,North America,0,Native-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,5834035,,
3640,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,CAN,Canada,141185,,
3641,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,CAN,Canada,105130,,
3642,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,246315,,
3643,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,CAN,Canada,9494235,,
3644,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,CAN,Canada,9051350,,
3645,NOAM,North America,0,Native-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,CAN,Canada,18545585,,
4985,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,DNK,Denmark,327,,
4986,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,DNK,Denmark,285,,
4987,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,DNK,Denmark,612,,
4991,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,DNK,Denmark,503,,
4992,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,DNK,Denmark,681,,
4993,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,DNK,Denmark,1184,,
4997,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,DNK,Denmark,41,,
4998,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,DNK,Denmark,32,,
4999,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,DNK,Denmark,73,,
5003,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,DNK,Denmark,200,,
5004,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,DNK,Denmark,296,,
5005,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,DNK,Denmark,496,,
5009,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,DNK,Denmark,1071,,
5010,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,DNK,Denmark,1294,,
5011,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,DNK,Denmark,2365,,
5015,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,DNK,Denmark,1001,,
5016,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,DNK,Denmark,1133,,
5017,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,DNK,Denmark,2134,,
5021,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,DNK,Denmark,302,,
5022,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,DNK,Denmark,227,,
5023,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,DNK,Denmark,529,,
5027,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,DNK,Denmark,698,,
5028,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,DNK,Denmark,552,,
5029,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,DNK,Denmark,1250,,
5033,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,DNK,Denmark,1268,,
5034,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,DNK,Denmark,1224,,
5035,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,DNK,Denmark,2492,,
5039,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,DNK,Denmark,3269,,
5040,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,DNK,Denmark,3136,,
5041,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,DNK,Denmark,6405,,
5045,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,DNK,Denmark,105,,
5046,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,DNK,Denmark,173,,
5047,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,DNK,Denmark,278,,
5051,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,DNK,Denmark,43,,
5052,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,DNK,Denmark,79,,
5053,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,DNK,Denmark,122,,
5057,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,DNK,Denmark,32,,
5058,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,DNK,Denmark,44,,
5059,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,DNK,Denmark,76,,
5063,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,DNK,Denmark,128,,
5064,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,DNK,Denmark,278,,
5065,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,DNK,Denmark,406,,
5069,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,DNK,Denmark,308,,
5070,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,DNK,Denmark,574,,
5071,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,DNK,Denmark,882,,
5075,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,DNK,Denmark,1433,,
5076,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,DNK,Denmark,1591,,
5077,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DNK,Denmark,3024,,
5081,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,2,Women,DNK,Denmark,848,,
5082,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,1,Men,DNK,Denmark,987,,
5083,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DNK,Denmark,1835,,
5087,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,DNK,Denmark,771,,
5088,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,DNK,Denmark,628,,
5089,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DNK,Denmark,1399,,
5093,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,DNK,Denmark,1596,,
5094,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,DNK,Denmark,1798,,
5095,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DNK,Denmark,3394,,
5099,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,DNK,Denmark,4648,,
5100,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,DNK,Denmark,5004,,
5101,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DNK,Denmark,9652,,
6514,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,FRA,France,1677,,
6515,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,FRA,France,1381,,
6516,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,FRA,France,3058,,
6520,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,FRA,France,769,,
6521,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,FRA,France,764,,
6522,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,FRA,France,1533,,
6526,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,FRA,France,4529,,
6527,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,FRA,France,3869,,
6528,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,FRA,France,8398,,
6532,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,FRA,France,6975,,
6533,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,FRA,France,6014,,
6534,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,FRA,France,12989,,
6538,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,FRA,France,2972,,
6539,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,FRA,France,2644,,
6540,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,FRA,France,5616,,
6544,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,FRA,France,2589,,
6545,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,FRA,France,2026,,
6546,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,FRA,France,4615,,
6550,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,FRA,France,7143,,
6551,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,FRA,France,5149,,
6552,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,FRA,France,12292,,
6556,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,FRA,France,12704,,
6557,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,FRA,France,9819,,
6558,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,FRA,France,22523,,
6562,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,FRA,France,510,,
6563,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,FRA,France,300,,
6564,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,FRA,France,810,,
6568,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,FRA,France,330,,
6569,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,FRA,France,364,,
6570,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,FRA,France,694,,
6574,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,FRA,France,2082,,
6575,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,FRA,France,1409,,
6576,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,FRA,France,3491,,
6580,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,FRA,France,2922,,
6581,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,FRA,France,2073,,
6582,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,FRA,France,4995,,
6586,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,FRA,France,1057,,
6587,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,FRA,France,985,,
6588,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,FRA,France,2042,,
6592,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,FRA,France,1040,,
6593,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,FRA,France,818,,
6594,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,FRA,France,1858,,
6598,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,FRA,France,2056,,
6599,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,FRA,France,2037,,
6600,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,FRA,France,4093,,
6604,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,FRA,France,4153,,
6605,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,FRA,France,3840,,
6606,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,FRA,France,7993,,
6610,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,FRA,France,6216,,
6611,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,FRA,France,5310,,
6612,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,FRA,France,11526,,
6616,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,FRA,France,4728,,
6617,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,FRA,France,3972,,
6618,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,FRA,France,8700,,
6622,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,FRA,France,15810,,
6623,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,FRA,France,12464,,
6624,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,FRA,France,28274,,
6628,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,FRA,France,26754,,
6629,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,FRA,France,21746,,
6630,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,FRA,France,48500,,
7312,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,DEU,Germany,5720,,
7313,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,DEU,Germany,12020,,
7314,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,DEU,Germany,17740,,
7318,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,DEU,Germany,5420,,
7319,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,DEU,Germany,5420,,
7322,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,DEU,Germany,6280,,
7323,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,DEU,Germany,12010,,
7324,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,DEU,Germany,18290,,
7328,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,DEU,Germany,12000,,
7329,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,DEU,Germany,29450,,
7330,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,DEU,Germany,41450,,
7334,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,DEU,Germany,5720,,
7335,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,DEU,Germany,12020,,
7336,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DEU,Germany,17740,,
7340,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,DEU,Germany,5420,,
7341,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DEU,Germany,5420,,
7344,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,DEU,Germany,6280,,
7345,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,DEU,Germany,12010,,
7346,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DEU,Germany,18290,,
7350,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,DEU,Germany,12000,,
7351,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,DEU,Germany,29450,,
7352,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,DEU,Germany,41450,,
8220,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,GRC,Greece,1132,,
8221,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,GRC,Greece,1059,,
8222,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,GRC,Greece,2191,,
8226,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,GRC,Greece,14,,
8227,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,GRC,Greece,10,,
8228,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,GRC,Greece,24,,
8232,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,GRC,Greece,292,,
8233,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,GRC,Greece,305,,
8234,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,GRC,Greece,597,,
8238,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,GRC,Greece,1042,,
8239,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,GRC,Greece,817,,
8240,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,GRC,Greece,1859,,
8244,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,GRC,Greece,2480,,
8245,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,GRC,Greece,2191,,
8246,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,GRC,Greece,4671,,
8250,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,GRC,Greece,3272,,
8251,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,GRC,Greece,2171,,
8252,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,GRC,Greece,5443,,
8256,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,GRC,Greece,17,,
8257,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,GRC,Greece,8,,
8258,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,GRC,Greece,25,,
8262,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,GRC,Greece,788,,
8263,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,GRC,Greece,840,,
8264,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,GRC,Greece,1628,,
8268,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,GRC,Greece,1727,,
8269,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,GRC,Greece,1087,,
8270,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,GRC,Greece,2814,,
8274,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,GRC,Greece,5804,,
8275,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,GRC,Greece,4106,,
8276,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,GRC,Greece,9910,,
8280,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,GRC,Greece,921,,
8281,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,GRC,Greece,543,,
8282,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,GRC,Greece,1464,,
8286,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,GRC,Greece,4,,
8287,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,GRC,Greece,5,,
8288,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,GRC,Greece,9,,
8292,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,GRC,Greece,362,,
8293,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,GRC,Greece,361,,
8294,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,GRC,Greece,723,,
8298,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,GRC,Greece,580,,
8299,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,GRC,Greece,296,,
8300,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,GRC,Greece,876,,
8304,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,GRC,Greece,1867,,
8305,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,GRC,Greece,1205,,
8306,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,GRC,Greece,3072,,
8310,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,GRC,Greece,4157,,
8311,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,GRC,Greece,3271,,
8312,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,GRC,Greece,7428,,
8316,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,2,Women,GRC,Greece,26,,
8317,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,1,Men,GRC,Greece,17,,
8318,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,ALL_SEX,Men and women,GRC,Greece,43,,
8322,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,GRC,Greece,1175,,
8323,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,GRC,Greece,1162,,
8324,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,GRC,Greece,2337,,
8328,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,GRC,Greece,2133,,
8329,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,GRC,Greece,1427,,
8330,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,GRC,Greece,3560,,
